top_k_pixels,top_k_fraction,tile_roc_auc,tile_average_precision,source_group_balanced_tile_roc_auc,source_group_balanced_tile_average_precision,tile_cohens_d,object_roc_auc,object_average_precision,source_image_roc_auc,source_image_average_precision,selected,config_name,seed
7373,0.0500013563368055,0.8035714285714286,0.5833377426651403,0.7811363636363635,0.6882572814980354,0.9065930824587468,0.8600000000000001,0.342983682983683,0.36,0.4768253968253968,False,resnet18_384,123
9216,0.0625,0.8142857142857143,0.6012233381281236,0.793409090909091,0.7079942876386839,0.9617174914813637,0.8650000000000001,0.3563170163170163,0.4,0.4968253968253968,False,resnet18_384,123
14746,0.1000027126736111,0.8452380952380952,0.6591975297560952,0.8202272727272728,0.7487311373625929,1.1411382143192192,0.895,0.4138888888888888,0.52,0.5587301587301587,False,resnet18_384,123
29491,0.1999986436631944,0.875,0.7550553937650712,0.8535227272727273,0.80847157485477,1.5038366717624572,0.945,0.6533333333333333,0.76,0.7683333333333333,False,resnet18_384,123
49152,0.3333333333333333,0.894047619047619,0.7890375299211205,0.8700000000000001,0.8282491288394488,1.790034675043015,0.945,0.6533333333333333,0.76,0.7683333333333333,False,resnet18_384,123
73728,0.5,0.9202380952380952,0.8600563950003728,0.8925000000000001,0.8677035525486511,2.022547970795749,0.945,0.6533333333333333,0.8,0.7861904761904761,False,resnet18_384,123
147456,1.0,0.9535714285714284,0.915887735565607,0.9368181818181818,0.9308393277822136,2.203210995961584,0.97,0.8444444444444443,0.92,0.9266666666666664,True,resnet18_384,123
1,6.781684027777777e-06,0.6011904761904762,0.4275308725594408,0.5686363636363636,0.5360346583149873,0.3475060738148539,0.705,0.3520879120879121,0.28,0.5412698412698412,False,resnet18_384,2025
74,0.0005018446180555,0.6178571428571429,0.407683813309742,0.5811363636363636,0.5251324348662926,0.321089600266401,0.685,0.2448667672197084,0.28,0.4523809523809523,False,resnet18_384,2025
147,0.0009969075520833,0.6261904761904762,0.411604493636116,0.5882954545454545,0.5269747760618353,0.3189681807393372,0.6950000000000001,0.2475443083411854,0.28,0.4523809523809523,False,resnet18_384,2025
369,0.00250244140625,0.6404761904761904,0.4153087120019886,0.607840909090909,0.5351915616562698,0.322760239054215,0.69,0.2458333333333333,0.28,0.4523809523809523,False,resnet18_384,2025
